textDisplay,cleansing,tokenz_and_caseFold,remove_stopwords
Senjata  makan  tuan🤭,Senjata  makan  tuan🤭,"['senjata', 'makan', 'tuan🤭']","['senjata', 'makan', 'tuan🤭']"
Ibu otake isi kotoran yg berisi aetan,Ibu otake isi kotoran yg berisi aetan,"['ibu', 'otake', 'isi', 'kotoran', 'yg', 'berisi', 'aetan']","['otake', 'isi', 'kotoran', 'yg', 'berisi', 'aetan']"
Kenapa gak suaminya aja yang diracun 😡 malah anaknya yang gak tau apa2😢,Kenapa gak suaminya aja yang diracun  malah anaknya yang gak tau apa,"['kenapa', 'gak', 'suaminya', 'aja', 'yang', 'diracun', 'malah', 'anaknya', 'yang', 'gak', 'tau', 'apa']","['gak', 'suaminya', 'aja', 'diracun', 'anaknya', 'gak', 'tau']"
"Binatang ni ibu , knpa anak diracun , suami yg diracun karna anak tdk pnya salah",Binatang ni ibu  knpa anak diracun  suami yg diracun karna anak tdk pnya salah,"['binatang', 'ni', 'ibu', 'knpa', 'anak', 'diracun', 'suami', 'yg', 'diracun', 'karna', 'anak', 'tdk', 'pnya', 'salah']","['binatang', 'ni', 'knpa', 'anak', 'diracun', 'suami', 'yg', 'diracun', 'karna', 'anak', 'tdk', 'pnya', 'salah']"
Semoga di dlm penjara jadi mainan napi lain....,Semoga di dlm penjara jadi mainan napi lain,"['semoga', 'di', 'dlm', 'penjara', 'jadi', 'mainan', 'napi', 'lain']","['semoga', 'dlm', 'penjara', 'mainan', 'napi']"
"Hati busuk,  sakit hati sama suaminya kok anaknya di Racun Bu..., mendekamlah skrg dipenjara.",Hati busuk  sakit hati sama suaminya kok anaknya di Racun Bu mendekamlah skrg dipenjara,"['hati', 'busuk', 'sakit', 'hati', 'sama', 'suaminya', 'kok', 'anaknya', 'di', 'racun', 'bu', 'mendekamlah', 'skrg', 'dipenjara']","['hati', 'busuk', 'sakit', 'hati', 'suaminya', 'anaknya', 'racun', 'bu', 'mendekamlah', 'skrg', 'dipenjara']"
Kenapa ngak kmu racun suami mu.jangan anak yang ngak berdosa kau racun gila kmu,Kenapa ngak kmu racun suami mujangan anak yang ngak berdosa kau racun gila kmu,"['kenapa', 'ngak', 'kmu', 'racun', 'suami', 'mujangan', 'anak', 'yang', 'ngak', 'berdosa', 'kau', 'racun', 'gila', 'kmu']","['ngak', 'kmu', 'racun', 'suami', 'mujangan', 'anak', 'ngak', 'berdosa', 'kau', 'racun', 'gila', 'kmu']"
Istri biadap,Istri biadap,"['istri', 'biadap']","['istri', 'biadap']"
"Sebelum di penjara, ibu nya kasih racun tikus juga biar tahu rasa😅",Sebelum di penjara ibu nya kasih racun tikus juga biar tahu rasa,"['sebelum', 'di', 'penjara', 'ibu', 'nya', 'kasih', 'racun', 'tikus', 'juga', 'biar', 'tahu', 'rasa']","['penjara', 'nya', 'kasih', 'racun', 'tikus', 'biar']"
Biadap,Biadap,['biadap'],['biadap']
