publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-02T10:54:05Z,@lilysetiawati7733,Senjata  makan  tuan🤭,0
2024-05-11T14:54:32Z,@homecare4880,Ibu otake isi kotoran yg berisi aetan,0
2024-05-11T12:37:50Z,@vaniacalysta3210,Kenapa gak suaminya aja yang diracun 😡 malah anaknya yang gak tau apa2😢,0
2024-05-11T10:56:23Z,@user-qk9sp8ud4d,"Binatang ni ibu , knpa anak diracun , suami yg diracun karna anak tdk pnya salah",0
2024-05-11T09:38:44Z,@trisnosetyawardhana6147,Semoga di dlm penjara jadi mainan napi lain....,0
2024-05-11T08:28:58Z,@inggirwiratama5222,"Hati busuk,  sakit hati sama suaminya kok anaknya di Racun Bu..., mendekamlah skrg dipenjara.",0
2024-05-11T08:27:26Z,@noviantidewi6155,Kenapa ngak kmu racun suami mu.jangan anak yang ngak berdosa kau racun gila kmu,0
2024-05-11T07:57:35Z,@masrudinmas1904,Istri biadap,0
2024-05-11T07:55:31Z,@dewimentari150,"Sebelum di penjara, ibu nya kasih racun tikus juga biar tahu rasa😅",0
2024-05-11T07:10:37Z,@user-bv2wm9wg5p,Biadap,0
2024-05-11T05:59:47Z,@ketutasih5756,"Di tangkap polisi,langsung pake jilbab kedok iblis",0
2024-05-11T05:46:21Z,@user-vt5qf9kb3i,Aku gk mau tau pelaku harus di hukum mati,0
2024-05-11T03:52:27Z,@user-kl6ck1yl9t,Mogo kenak karma yg pembunuh itu,0
2024-05-11T00:24:48Z,@UjiCoba-dq5zg,Gw juga tinggal sm ibu tiri tpi Alhamdulillah ga sampai segitunya ibu tiri gw ya walaupun kadang² gw suka di omelin tpi dia baik juga ke gw.<br><br>Ga semua ibu tiri jahat ya kawan²,0
2024-05-11T05:51:17Z,@user-vt5qf9kb3i,Gak semua kau bilang bagiku ibu itri itu hampir 90% jahat ke anak suaminya..,0
2024-05-10T14:13:29Z,@user-xk5gj4bq2v,Perempuan gila.gk ad otak anak yatim di gituin,0
2024-05-10T13:25:32Z,@dfcsinc7830,"saya dari SD kelas 3 dirawat ibu tiri face-blue-smiling hidup normal,harusnya ibu tiri disebut juga OKNUM sama seperti pejabat/aparat yg bikin masalah",1
2024-05-11T05:50:24Z,@user-vt5qf9kb3i,Ibu tiri itu dia banyak beban jdi lebih baik sudahi lah rumah tangga nya biar aman,0
2024-05-10T11:31:02Z,@user-qh7yq5ym5c,Gila,0
2024-05-10T11:19:54Z,@user-wd4rh4pz6e,Hukum gantung ajaaa,0
2024-05-10T10:32:04Z,@suminihsuminih6208,Semoga selmat ya nak <br>Uripe sukses aminyaroballmin,1
2024-05-10T10:09:16Z,@evimayasari836,Mudahan ibuk tirinya di azab Allah krna kejahatan yg dibuatnya.,0
2024-05-10T09:33:53Z,@marioagussusanto3783,"Siap bersuami, tp tdk ready jadi ibu tiri .",0
2024-05-10T07:51:36Z,@iraira9642,Ini seorang ibu kah bukan seorang iblis mau bpnya juga mau anaknya lah anggep anak sendiri you ibu iblis hukum aja pk polisi,0
